FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE,OBJECTID,AREA_SQM,FEAT_LEN,X,Y
64,,1919,Person,1919-64,2568.2,linens,,20070517130622,19190713,digitised,JA70003000,,2398495,25682895.7976,25016.221,,
65,,1919,Person,1919-65,610.2,linens,,20070517130618,19190713,digitised,JA70003000,,2398496,6102144.0525,13669.2386,,
65,,1919,Lightning,1919-65,330.8,linens,,20070517130620,19190716,digitised,JA70003000,,2398497,3308662.6858,8941.7031,,
65,,1919,Person,1919-65,5871.5,linens,,20070517130648,19190809,digitised,JA70003000,,2398498,58715420.1397,69798.4138,,
67,,1919,Person,1919-67,115.2,linens,,20070517130611,19190828,digitised,JA70003000,,2398499,1152980.6208,4403.2833,,
67,,1919,Person,1919-67,51.8,linens,,20070517130620,19190723,digitised,JA70003000,,2398500,518262.8408,2842.0308,,
68a,,1919,Person,1919-68a,46.5,linens,,20070517130623,19190820,assumed_shape,JA70003000,,2398501,465025.692,3091.7106,,
69,,1919,Lightning,1919-69,4190.5,linens,,20070517130649,19190713,digitised,JA70003000,,2398502,41905087.0873,44194.5887,,
69b,,1919,Person,1919-69b,1053.2,linens,,20070517130615,19190717,digitised,JA70003000,,2398503,10532752.1431,15283.5408,,
7,,1919,Person,1919-7,389.4,linens,,20070517130616,19190620,digitised,JA70003000,,2398504,3894622.2422,8360.3761,,
70,,1919,Person,1919-70,35.9,linens,,20070517130611,19190811,digitised,JA70003000,,2398505,359929.138,2677.6475,,
60,,1919,Lightning,1919-60,1903.6,linens,,20070517130619,19190715,digitised,JA70003000,,2398481,19036698.0595,23431.7997,,
61,,1919,Lightning,1919-61,555.3,linens,,20070517130619,19190716,digitised,JA70003000,,2398482,5553010.0473,11683.1479,,
62,,1919,Person,1919-62,1999.6,linens,,20070517130609,19190715,digitised,JA70003000,,2398483,19996458.7294,20649.4133,,
